FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,DATE,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC
142050,BC-2013-2013-V10143,BC, ,2013-V10143, ,53.3397,-132.3667,2013,7,5,2013-07-05 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.007499693666111,286.0536548236016,0.0002337642344284,0.1004366336680116,21.21349004182697,2.9973258284642275,,,,,,,,,,,
142085,BC-2013-2013-V10530,BC, ,2013-V10530, ,53.6189,-132.3968,2013,8,9,2013-08-09 00:00:00,,,0.2,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0088723029353118,287.62898572354493,0.0026632391216972,0.0958582364798641,21.990173620680647,1.7211869499101644,,,,,,,,,,,
142086,BC-2013-2013-V10567,BC, ,2013-V10567, ,53.6611,-132.3663,2013,8,10,2013-08-10 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0082782105990386,287.2257558781104,1.0217301860874518e-06,0.0276769886245122,19.130001538860235,2.358994246516525,,,,,,,,,,,
142087,BC-2013-2013-V10607,BC, ,2013-V10607, ,52.9524,-131.9046,2013,8,17,2013-08-17 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0098702470893232,288.2293309136875,0.0063414493216554,0.2454433278935199,26.35649585833644,2.530155992808075,,,,,,,,,,,
144527,BC-2013-2013-V10642,BC, ,2013-V10642, ,49.3662,-121.3711,2013,8,26,2013-08-26 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0083068232335667,285.5079314803769,0.0336142130552289,0.0850438485050438,19.755437657213985,0.1617656094236002,,,,,,,,,,,
144528,BC-2013-2013-V10677,BC, ,2013-V10677, ,49.2627,-121.4532,2013,9,9,2013-09-09 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0098655430778284,287.2412982989531,0.0051195309062974,0.0457785628513658,20.44295558830833,0.1418961397582626,,,,,,,,,,,
144529,BC-2013-2013-V10690,BC, ,2013-V10690, ,49.253,-121.3567,2013,9,14,2013-09-14 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0093363673938837,290.22269522765623,0.0001135409548604,0.0008929095910963,15.215920900488609,0.3005536643022339,,,,,,,,,,,
144530,BC-2013-2013-V10721,BC, ,2013-V10721, ,49.5966,-121.3448,2013,10,17,2013-10-17 00:00:00,,,25.0,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0041596233270628,275.3919599485195,3.2961328456623824e-07,0.0006493454017023,7.431414654456491,0.4463599831292965,,,,,,,,,,,
144531,BC-2013-2013-V30010,BC, ,2013-V30010, ,50.3923,-122.8799,2013,4,23,2013-04-23 00:00:00,,,1.2,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0034452213904593,271.1061990020273,0.017253946524497,0.0179430027300487,5.718277344158122,0.4364201609676318,,,,,,,,,,,
144532,BC-2013-2013-V10224,BC, ,2013-V10224, ,49.2995,-121.3106,2013,7,16,2013-07-16 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.007508898313294,286.7753456132226,0.0,2.3838193425987607e-05,9.398039447823162,0.1412214498903865,,,,,,,,,,,
144533,BC-2013-2013-V10225,BC, ,2013-V10225, ,49.3079,-121.2996,2013,7,17,2013-07-17 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0090764755315246,290.31653059093753,0.0579827797263171,0.02879361875824,20.97228708317688,0.2349806456858719,,,,,,,,,,,
144534,BC-2013-2013-V10226,BC, ,2013-V10226, ,49.5172,-121.2905,2013,7,16,2013-07-16 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0073161088289523,286.3559914719335,0.0,2.942505134476612e-05,9.307590811087024,0.1620011138753165,,,,,,,,,,,
144535,BC-2013-2013-V10246,BC, ,2013-V10246, ,49.2357,-121.3829,2013,7,14,2013-07-14 00:00:00,,,1.9,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0071252595289419,285.54930388076565,0.0001403598589806,0.0073204847068067,12.081879361697087,0.0939079601998142,,,,,,,,,,,
144536,BC-2013-2013-V10259,BC, ,2013-V10259, ,49.2406,-121.3846,2013,7,14,2013-07-14 00:00:00,,,1.0,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0071285408697192,285.54839393756646,0.0001431162981691,0.0074195809677871,12.099471709368562,0.0962569451734827,,,,,,,,,,,
144537,BC-2013-2013-V30167,BC, ,2013-V30167, ,50.0205,-123.3033,2013,7,7,2013-07-07 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0082914561812451,288.4740455219873,0.0345601618464439,0.0509432985738241,17.271855591186203,0.1103898849766405,,,,,,,,,,,
