FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
145982,BC-2014-2014-R90040,BC, ,2014-R90040, ,59.9263,-128.8753,2014,6,16,2014-06-16 00:00:00,,,0.5,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0058622945372302,282.36212255013965,0.024653796496483,0.0840215576206366,13.701422021319612,0.1572184572620883,282.96239697625776,0.7364755340949539,97.38971263592154,43.48705345917793,1.9567322512017696e-05,2.0136713070173458,0.9600649186076678,221.6006798199399,42.439988915386174,0.2965792063487523,
145995,BC-2014-2014-G90091,BC, ,2014-G90091, ,59.0292,-121.0551,2014,5,30,2014-05-30 00:00:00,,,6.5,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0068413241683064,286.01517381816404,0.0128285205485095,0.0799213918535986,17.202329326045163,0.1693021846476218,280.3835099972617,0.6813180124707092,62.495401417790376,68.46322318383217,1.279824681836997e-05,1.5518688676440275,0.94323125402919,221.0862804661836,26.81779912655684,0.2988664501370422,
145996,BC-2014-2014-G90094,BC, ,2014-G90094, ,59.1892,-121.979,2014,5,30,2014-05-30 00:00:00,,,15.2,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0071651587032401,286.40605640066406,0.0149058385928666,0.0765855555576706,17.85310049311523,0.13317716695782,280.6507132125,0.6812080078023535,62.46869671799811,66.03810866337889,1.21088702992478e-05,1.5398390134365854,0.9426484989168548,218.51358954916017,26.502634374218783,0.2974012393276599,
145997,BC-2014-2014-G90116,BC, ,2014-G90116, ,59.9605,-123.1155,2014,6,18,2014-06-18 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.007438182803066,288.42503396586915,0.0318574894211783,0.0389422759217738,18.087863699743654,0.0722700805304666,286.74425204497066,0.7282420978750705,108.47874423569948,22.269376134197984,2.8591831995635484e-05,2.8446425830886835,0.9675538915537356,211.87233407857667,61.62507984327394,0.3063592617363214,
145998,BC-2014-2014-G90146,BC, ,2014-G90146, ,59.2375,-121.1918,2014,6,30,2014-06-30 00:00:00,,,1.2,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0100349040420576,289.98208931762696,0.0379960026634932,0.1018589453063609,25.19989562895204,0.0451532034067555,286.6018574169922,0.6997486695222858,102.66091853747562,30.25548069548031,4.7313649217161685e-05,2.5894690847167974,0.966152732890129,213.92301755187987,58.4861006546631,0.3001438680896761,
145999,BC-2014-2014-G90149,BC, ,2014-G90149, ,59.1972,-121.9837,2014,6,28,2014-06-28 00:00:00,,,2.9,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0087687591515067,292.2308175157344,0.0221549203982192,0.0453278698037138,20.757250047437,0.173291504836885,286.6334345650704,0.6987410794065629,101.3639844285371,29.24757886205054,4.694045064709424e-05,2.617586126785004,0.9661667051716308,210.51788362054688,56.21202527352148,0.2998880601001473,
146000,BC-2014-2014-G90229,BC, ,2014-G90229, ,59.3578,-121.15,2014,7,14,2014-07-14 00:00:00,,,13.0,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.012587057616651,297.03289783251955,0.0106301156843156,0.0026548414873946,27.00983331704712,0.1641004185810168,290.4856620908203,0.6384200357503896,113.66294502417009,31.80082160897813,2.5661670550500265e-05,3.8673170932998673,0.9654647672519684,226.12052802490237,74.24590141198746,0.2744750254068377,
146001,BC-2014-2014-G90230,BC, ,2014-G90230, ,59.357,-121.1274,2014,7,14,2014-07-14 00:00:00,,,6.8,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0125754574024176,297.03432377970705,0.0105601611661124,0.0026007419545432,26.99820587986816,0.1641117260087795,290.5024428023828,0.6368399744959636,113.29587175497062,32.130730410263745,2.5607851878607163e-05,3.865402820490417,0.9654952840631866,226.1347363980957,73.9104299345678,0.2737894852104566,
146002,BC-2014-2014-G90232,BC, ,2014-G90232, ,59.2032,-121.1964,2014,7,14,2014-07-14 00:00:00,,,1290.0,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0126102121011481,297.05675196690623,0.0120339312059073,0.002204520656187,26.92987309652929,0.1533087131726242,290.39162471475,0.6524441687487472,118.4991656926012,27.50606001496225,2.441530174851601e-05,3.926816449767699,0.9646764007852784,226.07864231683595,79.30547483712465,0.2824965823647911,
146003,BC-2014-2014-G90281,BC, ,2014-G90281, ,59.2905,-120.5475,2014,7,20,2014-07-20 00:00:00,,,0.016,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.008645903036341,290.1383380419922,0.0071445260290894,0.0895466192283332,22.261435457054137,0.1730007383342492,290.90861211364745,0.6022167971603871,106.23648866717528,38.5527424426575,2.370432122694186e-05,3.8693425071039176,0.9661764748260976,226.5046961593628,67.63809852064512,0.2592163160454035,
146004,BC-2014-2014-G90282,BC, ,2014-G90282, ,59.1167,-120.652,2014,7,21,2014-07-21 00:00:00,,,0.5,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0088919821919,291.466104366416,0.0110225123365521,0.0775158567815828,22.712531271609496,0.2249346516344436,290.88369779083985,0.6108944345469844,111.10017974760224,34.61028774363002,2.1867805327149665e-05,3.9792505482685847,0.9652539158524704,226.86685800800785,72.67206517751927,0.2653549855137056,
146005,BC-2014-2014-G90340,BC, ,2014-G90340, ,59.3759,-121.4395,2014,7,29,2014-07-29 00:00:00,,,37.4,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0095328622029133,293.3767787669678,0.0033193213762703,0.0139906731137431,23.24753624240813,0.1211705586528278,290.3393985142236,0.6508789777122787,117.20910660259288,28.758542420990523,2.617713163381648e-05,3.9192669993746208,0.9651688299468232,226.1597787309375,77.50958691724863,0.2797663958931781,
146006,BC-2014-2014-G90361,BC, ,2014-G90361, ,59.2288,-121.3957,2014,7,29,2014-07-29 00:00:00,,,1.7,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0096492690699362,293.20621210703126,0.0032574979474421,0.0140231136838329,23.35020616959766,0.1224950742376456,290.3459117096953,0.6562320144636689,119.6441050587559,26.665527996149383,2.4978403585353407e-05,3.9461538643290415,0.964616657306656,226.3287846537852,80.28563255423832,0.2837887041055221,
146007,BC-2014-2014-G90475,BC, ,2014-G90475, ,58.9885,-121.2963,2014,8,16,2014-08-16 00:00:00,,,2.7,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0111722118456678,293.18527748417483,0.0187365604885769,0.0273971104458753,28.538038259951776,0.0290280879471486,287.858699327373,0.6164220703184891,86.15305942318359,25.5402403011798,1.3178334368938538e-05,4.096791845156402,0.8793233778936863,188.0214278562329,55.49270480344788,0.2706332538722324,
146008,BC-2014-2014-G90557,BC, ,2014-G90557, ,59.2229,-120.3609,2014,10,2,2014-10-02 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0029081482337175,270.40387024754006,0.0027070543536217,0.0225166083626154,6.332351929763655,0.2065733545680351,272.225804569168,0.6254503867917615,13.887825054270088,-1.364126643903922,3.183048399091945e-05,1.6591640944087886,0.7787822692993296,41.499970983351226,0.9110768704845382,0.2631050505375576,
