FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
145987,BC-2015-2016-G90386,BC, ,2016-G90386, ,59.5334,-127.4059,2015,7,1,2015-07-01 00:00:00,,,0.97,N,N,Fire, , , ,Note that BC FIRE_ID includes the fiscal year in which fire is reported, , ,2020-05-05 00:00:00,0.0072956866775721,287.1116175173672,0.0072702127492192,0.0150356127540854,14.652969854286011,0.014865939081072,285.2111498656797,0.6670558198713836,94.36706216220702,18.23316680384436,3.447958771840946e-05,3.396760306820648,0.9677848669017372,179.59452616579003,48.792231885659184,0.2582084944203633,
146126,BC-2015-2016-G90193,BC, ,2016-G90193, ,58.2452,-122.6899,2015,6,29,2015-06-29 00:00:00,,,0.15,N,N,Fire, , , ,Note that BC FIRE_ID includes the fiscal year in which fire is reported, , ,2020-05-05 00:00:00,0.0093062069585608,294.8908489763008,0.0060736387255636,0.0388753868472485,25.27079246479224,0.0217384385336824,287.21810808191793,0.688119081336899,104.89532284494442,38.64297622919721,3.309218666276383e-05,2.5027366796864947,0.96486616750309,227.48139390381448,56.17532086806454,0.298941079785656,
146345,BC-2015-2014-G70558,BC, ,2014-G70558, ,55.7202,-121.2248,2015,3,25,2015-03-25 00:00:00,,,0.9,H,H,Fire, , , ,Note that BC FIRE_ID includes the fiscal year in which fire is reported, , ,2020-05-05 00:00:00,0.0033646881705471,272.2317555763047,0.0135354641073237,0.0228579271424255,7.106715692917296,0.2425903813118631,271.09930815459376,0.8166398378174511,30.4765347842054,-4.523309051647935,1.750703845355653e-05,0.9275705649350928,0.8999833766942676,97.93827637962714,2.44409616604831,0.3547687231954609,
146346,BC-2015-2014-G70559,BC, ,2014-G70559, ,55.7351,-121.2652,2015,3,28,2015-03-28 00:00:00,,,5.6,H,H,Fire, , , ,Note that BC FIRE_ID includes the fiscal year in which fire is reported, , ,2020-05-05 00:00:00,0.0039902034064296,274.7700973800488,0.0300902784907925,0.0373459974019045,8.429458452959913,0.3465030032603908,271.02954022747264,0.8138811705209017,30.17297766901208,-4.732454054720249,1.734907637615057e-05,0.9276823704225762,0.8999434034315147,97.14700542521888,2.3710653019583194,0.3527915121533572,
146623,BC-2015-2015-R10020,BC, ,2015-R10020, ,54.205,-125.3361,2015,5,15,2015-05-15 00:00:00,,,4.0,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0069640869159117,286.3122178542969,0.002264623594802,0.0071334034175098,11.852059739791876,0.3127706271439154,282.5176211102051,0.8482622920587536,91.402653550232,42.59882984227903,3.069065072189841e-05,1.9993125610492728,0.9571259209364892,217.29313744257817,41.94452788835456,0.3746011181315896,
146624,BC-2015-2015-R10096,BC, ,2015-R10096, ,54.4946,-125.7614,2015,7,2,2015-07-02 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0087665514611279,290.4335957317617,0.018034395488363,0.0209068206472981,17.39450277147558,0.3089623370473615,286.60487312857816,0.6395742756857136,125.6394784932129,43.30906231875797,2.032204713060956e-05,4.143430897601359,0.9759061284372864,243.7367908541487,69.56620745260157,0.2705453365867419,
146786,BC-2015-2014-C10214,BC, ,2014-C10214, ,52.687,-122.4513,2015,3,14,2015-03-14 00:00:00,,,0.1,H,H,Fire, , , ,Note that BC FIRE_ID includes the fiscal year in which fire is reported, , ,2020-05-05 00:00:00,0.0052466057771898,278.5472156375293,0.0732957980903958,0.0595267784728108,12.414507894339597,0.0823864413474955,273.6230334719336,0.8182600995098497,34.527448586885406,3.287308872778716,2.2501764539609908e-05,2.1317168447280164,0.95634298205925,105.17989753108893,9.970920559063286,0.3572710324077703,
146787,BC-2015-2014-C10217,BC, ,2014-C10217, ,52.9567,-122.4584,2015,3,18,2015-03-18 00:00:00,,,0.009,H,H,Fire, , , ,Note that BC FIRE_ID includes the fiscal year in which fire is reported, , ,2020-05-05 00:00:00,0.0039012004285039,276.00101425783004,0.0093449089234985,0.0131671800762368,9.34380922210589,0.4176946524497998,273.72134482884564,0.8298615374720867,34.20187385192011,3.5813471032546267,2.643757987023885e-05,1.9420699770808831,0.9520396555723072,104.06998370163318,9.367582789483109,0.3610675095979566,
147031,BC-2015-2015-R10009,BC, ,2015-R10009, ,53.9811,-125.6941,2015,4,19,2015-04-19 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0039582970725165,278.19358124345894,0.0037200533625674,0.003281610578749,12.041472509733886,0.1832086196182923,274.70471378798635,0.886272755899719,55.75843660709796,23.630624839044017,1.884754678321436e-05,1.6613700604788713,0.946246431754288,150.34183389921884,13.09532500727579,0.402753620141858,
147032,BC-2015-2015-R10058,BC, ,2015-R10058, ,53.5878,-125.5097,2015,5,25,2015-05-25 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0080096444400376,284.59759274984765,0.0062097938438696,0.1471521718113492,19.208126369970824,0.2049892308155638,282.2637384872031,0.8087252418576015,89.0945645186738,46.78374070675172,2.618148766535053e-05,2.233714781687742,0.9613119323813896,217.4072768444765,46.66875667402096,0.3501813708336507,
